Title,Author,Rating
Station Eleven,Emily St. John Mandel,"4.07 avg rating — 484,056 ratings"
Pride and Prejudice,Jane Austen,"4.28 avg rating — 4,035,528 ratings"
"One for the Money (Stephanie Plum, #1)",Janet Evanovich,"4.04 avg rating — 537,043 ratings"
Never Let Me Go,Kazuo Ishiguro,"3.84 avg rating — 649,480 ratings"
American Gods,Neil Gaiman,"4.11 avg rating — 897,474 ratings"
Handcuff Secrets,Harry Houdini,4.49 avg rating — 216 ratings
Sign Here,Claudia  Lux,"3.83 avg rating — 24,030 ratings"
Clap When You Land,Elizabeth Acevedo,"4.25 avg rating — 94,504 ratings"
"A Time to Kill (Jake Brigance, #1)",John Grisham,"4.11 avg rating — 788,888 ratings"
"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,"4.19 avg rating — 1,131,176 ratings"
Mexican Gothic,Silvia Moreno-Garcia,"3.68 avg rating — 312,509 ratings"
The Alchemist,Paulo Coelho,"3.90 avg rating — 2,869,172 ratings"
"Divergent (Divergent, #1)",Veronica Roth,"4.15 avg rating — 3,779,458 ratings"
An American Marriage,Tayari Jones,"3.94 avg rating — 346,408 ratings"
"Crazy Rich Asians (Crazy Rich Asians, #1)",Kevin Kwan,"3.90 avg rating — 464,312 ratings"
All Your Perfects,Colleen Hoover,"4.09 avg rating — 495,382 ratings"
A Place for Us,Fatima Farheen Mirza,"4.17 avg rating — 57,321 ratings"
The Poet X,Elizabeth Acevedo,"4.39 avg rating — 119,343 ratings"
The Gravity of Us,Phil Stamper,"3.62 avg rating — 23,173 ratings"
The Great Alone,Kristin Hannah,"4.40 avg rating — 681,143 ratings"
"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,"4.33 avg rating — 740,367 ratings"
Unspeakable Things,Jess Lourey,"3.83 avg rating — 65,616 ratings"
"Red, White & Royal Blue",Casey McQuiston,"4.11 avg rating — 828,438 ratings"
Dark Matter,Blake Crouch,"4.13 avg rating — 431,883 ratings"
Recursion,Blake Crouch,"4.16 avg rating — 209,952 ratings"
"Still Life (Chief Inspector Armand Gamache, #1)",Louise Penny,"3.90 avg rating — 233,991 ratings"
The Starless Sea,Erin Morgenstern,"3.86 avg rating — 187,647 ratings"
The Night Circus,Erin Morgenstern,"4.02 avg rating — 920,199 ratings"
"Along Came a Spider (Alex Cross, #1)",James Patterson,"4.13 avg rating — 448,216 ratings"
"Tidelands (Fairmile, #1)",Philippa Gregory,"3.82 avg rating — 26,582 ratings"
"This Will Be My Undoing: Living at the Intersection of Black, Female, and Feminist in (White) America",Morgan Jerkins,"4.04 avg rating — 6,570 ratings"
The Tea Girl of Hummingbird Lane,Lisa See,"4.27 avg rating — 96,057 ratings"
Miracle Creek,Angie  Kim,"3.87 avg rating — 62,314 ratings"
"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,"4.08 avg rating — 490,810 ratings"
Pretty Girls,Karin Slaughter,"4.04 avg rating — 306,299 ratings"
"You Had Me at Hola (Primas of Power, #1)",Alexis Daria,"3.69 avg rating — 36,999 ratings"
"A Cold Trail (Tracy Crosswhite, #7)",Robert Dugoni,"4.37 avg rating — 27,696 ratings"
The Whisper Man,Alex North,"4.04 avg rating — 149,901 ratings"
The Shadows,Alex North,"3.74 avg rating — 52,013 ratings"
Joy of Cooking,Irma S. Rombauer,"4.12 avg rating — 181,315 ratings"
"My Sister's Grave (Tracy Crosswhite, #1)",Robert Dugoni,"4.08 avg rating — 146,265 ratings"
Her Body and Other Parties: Stories,Carmen Maria Machado,"3.86 avg rating — 80,567 ratings"
The Once and Future Witches,Alix E. Harrow,"4.06 avg rating — 72,296 ratings"
The Accidental Tourist,Anne Tyler,"3.90 avg rating — 103,725 ratings"
In Five Years,Rebecca Serle,"3.80 avg rating — 424,255 ratings"
The Particular Sadness of Lemon Cake,Aimee Bender,"3.24 avg rating — 64,708 ratings"
"Mirage (Mirage, #1)",Somaiya Daud,"3.72 avg rating — 12,604 ratings"
"The Lincoln Lawyer (The Lincoln Lawyer, #1; Harry Bosch Universe, #15)",Michael Connelly,"4.20 avg rating — 227,356 ratings"
Girl Wash your Face,Rachel Hollis,"3.59 avg rating — 245,224 ratings"
"A Gathering of Shadows (Shades of Magic, #2)",V.E. Schwab,"4.23 avg rating — 176,971 ratings"
Then She Was Gone,Lisa Jewell,"4.06 avg rating — 562,629 ratings"
"The Gilded Wolves (The Gilded Wolves, #1)",Roshani Chokshi,"3.73 avg rating — 43,352 ratings"
"The Tattooist of Auschwitz (The Tattooist of Auschwitz, #1)",Heather   Morris,"4.29 avg rating — 848,479 ratings"
Whisper Network,Chandler Baker,"3.60 avg rating — 71,383 ratings"
Confessions on the 7:45,Lisa Unger,"3.92 avg rating — 47,815 ratings"
I Was Anastasia,Ariel Lawhon,"3.73 avg rating — 22,951 ratings"
The Summer that Melted Everything,Tiffany   McDaniel,"really liked it4.00 avg rating — 11,986 ratings"
The Paper Daughters of Chinatown,Heather B. Moore,"4.16 avg rating — 6,799 ratings"
The House in the Cerulean Sea,T.J. Klune,"4.43 avg rating — 516,417 ratings"
Verity,Colleen Hoover,"4.34 avg rating — 2,154,419 ratings"
One to Watch,Kate Stayman-London,"3.89 avg rating — 88,975 ratings"
"A Rogue of One's Own (A League of Extraordinary Women, #2)",Evie Dunmore,"4.03 avg rating — 36,078 ratings"
"Axiom's End (Noumena, #1)",Lindsay  Ellis,"3.73 avg rating — 22,531 ratings"
The Mother Code,Carole Stivers,"3.55 avg rating — 2,271 ratings"
"This Is Major: Notes on Diana Ross, Dark Girls, and Being Dope",Shayla Lawson,4.28 avg rating — 777 ratings
"Don't Overthink It: Make Easier Decisions, Stop Second-Guessing, and Bring More Joy to Your Life",Anne Bogel,"3.89 avg rating — 14,142 ratings"
Hollywood Park,Mikel Jollett,"4.29 avg rating — 14,261 ratings"
999: The Extraordinary Young Women of the First Official Jewish Transport to Auschwitz,Heather Dune Macadam,"4.54 avg rating — 4,727 ratings"
"Entangled Life: How Fungi Make Our Worlds, Change Our Minds & Shape Our Futures",Merlin Sheldrake,"4.36 avg rating — 28,130 ratings"
All the Light We Cannot See,Anthony Doerr,"4.32 avg rating — 1,497,387 ratings"
Homegoing,Yaa Gyasi,"4.47 avg rating — 313,340 ratings"
A Burning,Megha Majumdar,"3.73 avg rating — 47,670 ratings"
Three Women,Lisa Taddeo,"3.72 avg rating — 137,420 ratings"
The Radium Girls: The Dark Story of America’s Shining Women,Kate  Moore,"4.15 avg rating — 135,045 ratings"
"When Dimple Met Rishi (Dimple and Rishi, #1)",Sandhya Menon,"3.69 avg rating — 53,291 ratings"
Daisy Jones & The Six,Taylor Jenkins Reid,"4.22 avg rating — 1,268,096 ratings"
The Silent Patient,Alex Michaelides,"4.18 avg rating — 1,717,921 ratings"
"The Empress of Salt and Fortune (The Singing Hills Cycle, #1)",Nghi Vo,"3.98 avg rating — 30,156 ratings"
"Firefly Lane (Firefly Lane, #1)",Kristin Hannah,"4.16 avg rating — 364,599 ratings"
"Annihilation (Southern Reach, #1)",Jeff VanderMeer,"3.76 avg rating — 214,454 ratings"
The Moment of Lift: How Empowering Women Changes the World,Melinda French Gates,"4.28 avg rating — 58,494 ratings"
Caste: The Origins of Our Discontents,Isabel Wilkerson,"4.54 avg rating — 126,434 ratings"
The Sympathizer (The Sympathizer #1),Viet Thanh Nguyen,"really liked it4.00 avg rating — 106,905 ratings"
Behold the Dreamers,Imbolo Mbue,"3.95 avg rating — 77,732 ratings"
Queenie,Candice Carty-Williams,"3.87 avg rating — 135,013 ratings"
In the Time of the Butterflies,Julia Alvarez,"4.15 avg rating — 68,841 ratings"
The Sun Down Motel,Simone St. James,"4.03 avg rating — 132,801 ratings"
"Shadow and Bone (The Shadow and Bone Trilogy, #1)",Leigh Bardugo,"3.94 avg rating — 897,848 ratings"
The Martian,Andy Weir,"4.41 avg rating — 1,064,234 ratings"
Hamnet,Maggie O'Farrell,"4.21 avg rating — 225,734 ratings"
The Southern Book Club's Guide to Slaying Vampires,Grady Hendrix,"3.81 avg rating — 184,258 ratings"
The Paper Menagerie and Other Stories,Ken Liu,"4.37 avg rating — 29,424 ratings"
